(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(3)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(7)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(8)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(10)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(12)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(13)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(15)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(17)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(19)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(21)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(24)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(25)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(26)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(27)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(32)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(34)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(36)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(42)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(44)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(48)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(49)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(54)), {C=0.0013198416190057193, S=0.0011672016340822876}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(58)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(59)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(60)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(61)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(62)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(63)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(66)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(69)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(70)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(73)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(74)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(78)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(82)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(83)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(86)), {C=0.0012098548174219095, S=0.001069934831242097}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(87)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(90)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(94)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(95)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(96)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(104)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(105)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(108)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(109)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(119)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(121)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(123)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(130)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(132)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(135)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(136)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(137)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(142)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(143)), {C=0.0012098548174219095, S=0.001069934831242097}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(147)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(153)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(154)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(156)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(157)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(159)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(160)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(162)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(164)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(166)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(168)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(170)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(172)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(173)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(174)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(176)), {C=0.0010998680158380994, S=0.0009726680284019065}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(177)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(179)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(182)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(183)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(184)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(186)), {C=0.0009898812142542896, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(187)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(188)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(193)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(194)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(197)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(200)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(206)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(211)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(213)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(216)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(217)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(223)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(226)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(227)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(228)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(230)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(231)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(232)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(234)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(236)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(237)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(238)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(239)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(244)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(246)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(247)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(248)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(250)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(251)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(252)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(254)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(259)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(262)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(263)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(264)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(265)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(266)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(268)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(269)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(270)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(271)), {C=0.0010998680158380994, S=0.0009726680284019065}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(272)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(282)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(284)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(286)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(292)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(294)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(297)), {C=0.0010998680158380994, S=0.0009726680284019065}
