(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(2)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(3)), {C=0.0008602150537634409, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(4)), {C=0.0006451612903225805, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(5)), {C=0.0006451612903225805, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(6)), {C=0.000967741935483871, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(7)), {C=0.0005376344086021505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(8)), {C=0.0007526881720430106, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(9)), {C=0.0005376344086021505, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(10)), {C=0.0007526881720430106, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(11)), {C=0.0013978494623655914, S=0.0012644684369224784}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(12)), {C=0.0016129032258064516, S=0.0014590020426028597}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(13)), {C=0.0016129032258064516, S=0.0014590020426028597}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(15)), {C=0.0006451612903225805, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(16)), {C=0.0006451612903225805, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(17)), {C=0.001290322580645161, S=0.0011672016340822876}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(18)), {C=0.0008602150537634409, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(19)), {C=0.001075268817204301, S=0.0009726680284019065}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(20)), {C=0.0007526881720430106, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K)) --> (buy(21)), {C=0.0011827956989247312, S=0.001069934831242097}
