(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(19)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(111)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(134)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(162)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(223)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(225)), {C=0.0006108113610913163, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(278)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(283)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(306)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(312)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(339)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(349)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(357)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(370)), {C=0.0006108113610913163, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(385)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(421)), {C=0.0007126132546065357, S=0.0006808676198813345}
