(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(2)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(7)), {C=0.0008830579033682352, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(10)), {C=0.0008830579033682352, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(34)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(37)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(40)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(41)), {C=0.0012615112905260504, S=0.0009726680284019065}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(43)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(45)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(54)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(55)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(58)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(60)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(68)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(79)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(80)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(82)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(89)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(91)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(107)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(110)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(118)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(126)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(130)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(132)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(142)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(145)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(154)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(156)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(157)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(162)), {C=0.0008830579033682352, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(174)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(176)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(181)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(183)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(233)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(236)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(243)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(244)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(253)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(271)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(281)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(283)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(286)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(322)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(327)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(330)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(334)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(340)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(344)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(351)), {C=0.0007569067743156301, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(353)), {C=0.0008830579033682352, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(362)), {C=0.0010092090324208404, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(371)), {C=0.0006307556452630252, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(N)) --> (buy(376)), {C=0.0006307556452630252, S=0.00048633401420095323}
