(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(6)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(7)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(8)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(9)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(11)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(19)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(28)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(29)), {C=0.0006806579693703913, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(30)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(33)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(39)), {C=0.0007941009642654565, S=0.0006808676198813345}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(43)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(46)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(48)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(49)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(52)), {C=0.0005672149744753262, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(53)), {C=0.0009075439591605219, S=0.0007781344227215252}
(gender(Male))(education(Bachelors Degree))(house_owner(Y)) --> (buy(54)), {C=0.0005672149744753262, S=0.00048633401420095323}
