(gender(Male))(education(Partial College))(house_owner(Y)) --> (buy(24)), {C=0.0005910165484633571, S=0.00048633401420095323}
(gender(Male))(education(Partial College))(house_owner(Y)) --> (buy(285)), {C=0.0005910165484633571, S=0.00048633401420095323}
(gender(Male))(education(Partial College))(house_owner(Y)) --> (buy(307)), {C=0.0005910165484633571, S=0.00048633401420095323}
(gender(Male))(education(Partial College))(house_owner(Y)) --> (buy(371)), {C=0.0005910165484633571, S=0.00048633401420095323}
(gender(Male))(education(Partial College))(house_owner(Y)) --> (buy(419)), {C=0.0005910165484633571, S=0.00048633401420095323}
(gender(Male))(education(Partial College))(house_owner(Y)) --> (buy(436)), {C=0.0007092198581560283, S=0.0005836008170411438}
(gender(Male))(education(Partial College))(house_owner(Y)) --> (buy(443)), {C=0.0005910165484633571, S=0.00048633401420095323}
(gender(Male))(education(Partial College))(house_owner(Y)) --> (buy(465)), {C=0.0005910165484633571, S=0.00048633401420095323}
(gender(Male))(education(Partial College))(house_owner(Y)) --> (buy(498)), {C=0.0007092198581560283, S=0.0005836008170411438}
(gender(Male))(education(Partial College))(house_owner(Y)) --> (buy(581)), {C=0.0005910165484633571, S=0.00048633401420095323}
(gender(Male))(education(Partial College))(house_owner(Y)) --> (buy(863)), {C=0.0007092198581560283, S=0.0005836008170411438}
(gender(Male))(education(Partial College))(house_owner(Y)) --> (buy(927)), {C=0.0005910165484633571, S=0.00048633401420095323}
(gender(Male))(education(Partial College))(house_owner(Y)) --> (buy(1124)), {C=0.0005910165484633571, S=0.00048633401420095323}
(gender(Male))(education(Partial College))(house_owner(Y)) --> (buy(1167)), {C=0.0007092198581560283, S=0.0005836008170411438}
(gender(Male))(education(Partial College))(house_owner(Y)) --> (buy(1267)), {C=0.0005910165484633571, S=0.00048633401420095323}
(gender(Male))(education(Partial College))(house_owner(Y)) --> (buy(1310)), {C=0.0005910165484633571, S=0.00048633401420095323}
(gender(Male))(education(Partial College))(house_owner(Y)) --> (buy(1365)), {C=0.0005910165484633571, S=0.00048633401420095323}
(gender(Male))(education(Partial College))(house_owner(Y)) --> (buy(1382)), {C=0.0005910165484633571, S=0.00048633401420095323}
(gender(Male))(education(Partial College))(house_owner(Y)) --> (buy(1501)), {C=0.0005910165484633571, S=0.00048633401420095323}
(gender(Male))(education(Partial College))(house_owner(Y)) --> (buy(1534)), {C=0.0005910165484633571, S=0.00048633401420095323}
