(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(4)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(9)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(11)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(12)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(17)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(21)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(22)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(26)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(27)), {C=0.001233654083395016, S=0.0009726680284019065}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(28)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(29)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(30)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(35)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(39)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(48)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(50)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(56)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(57)), {C=0.0009869232667160128, S=0.0007781344227215252}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(67)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(68)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(70)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(74)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(76)), {C=0.0008635578583765112, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(84)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(86)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(90)), {C=0.0011102886750555144, S=0.0008754012255617158}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(95)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(99)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(100)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(102)), {C=0.0007401924500370096, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(103)), {C=0.000616827041697508, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N)) --> (buy(107)), {C=0.0007401924500370096, S=0.0005836008170411438}
