(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(2)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(7)), {C=0.0010611956137247967, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(8)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(11)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(14)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(15)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(16)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(20)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(21)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(23)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(25)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(27)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(28)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(30)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(36)), {C=0.0012970168612191958, S=0.001069934831242097}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(37)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(39)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(42)), {C=0.0011791062374719961, S=0.0009726680284019065}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(43)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(44)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(46)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(50)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(51)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(53)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(56)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(57)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(58)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(61)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(62)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(63)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(66)), {C=0.0010611956137247967, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(68)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(70)), {C=0.0012970168612191958, S=0.001069934831242097}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(71)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(73)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(75)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(81)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(85)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(95)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(98)), {C=0.0010611956137247967, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(112)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(113)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(114)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(116)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(117)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(118)), {C=0.0010611956137247967, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(119)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(121)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(122)), {C=0.0010611956137247967, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(126)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(129)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(131)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(132)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(138)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(139)), {C=0.0010611956137247967, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(143)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(146)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(150)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(158)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(161)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(162)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(163)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(168)), {C=0.0010611956137247967, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(169)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(172)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(179)), {C=0.0011791062374719961, S=0.0009726680284019065}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(180)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(182)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(184)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(185)), {C=0.0008253743662303973, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(191)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(192)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(194)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(196)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(203)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(206)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(208)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(213)), {C=0.0009432849899775969, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(214)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(216)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(217)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(219)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(220)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(225)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(240)), {C=0.0005895531187359981, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(241)), {C=0.0007074637424831976, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(marital_status(S)) --> (buy(244)), {C=0.0010611956137247967, S=0.0008754012255617158}
