(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(6)), {C=0.0010226110669242132, S=0.0008754012255617158}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(8)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(12)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(13)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(24)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(25)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(26)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(30)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(31)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(34)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(36)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(37)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(42)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(43)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(54)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(64)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(70)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(71)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(72)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(78)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(86)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(87)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(89)), {C=0.0009089876150437451, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(91)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(96)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(98)), {C=0.0009089876150437451, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(102)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(103)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(106)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(111)), {C=0.0007953641631632768, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(112)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(114)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(118)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(119)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(121)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(house_owner(Y)) --> (buy(126)), {C=0.0009089876150437451, S=0.0007781344227215252}
