(gender(Male))(member card(Golden)) --> (buy(8)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(10)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(11)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(13)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(15)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(20)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(27)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(33)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(38)), {C=0.0013862415525905392, S=0.0007781344227215252}
(gender(Male))(member card(Golden)) --> (buy(39)), {C=0.0013862415525905392, S=0.0007781344227215252}
(gender(Male))(member card(Golden)) --> (buy(60)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(61)), {C=0.0015595217466643563, S=0.0008754012255617158}
(gender(Male))(member card(Golden)) --> (buy(62)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(66)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(68)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(69)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(70)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(71)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(80)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(81)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(82)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(83)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(84)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(85)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(88)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(91)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(104)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(107)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(111)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(114)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(118)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(120)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(124)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(126)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(127)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(132)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(134)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(138)), {C=0.0008664009703690869, S=0.00048633401420095323}
