(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(13)), {C=0.0006521739130434782, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(46)), {C=0.0005434782608695652, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(70)), {C=0.0005434782608695652, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(89)), {C=0.0005434782608695652, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(166)), {C=0.0005434782608695652, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(243)), {C=0.0005434782608695652, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(260)), {C=0.0005434782608695652, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(326)), {C=0.0006521739130434782, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(338)), {C=0.0005434782608695652, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(350)), {C=0.0005434782608695652, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(362)), {C=0.0005434782608695652, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(414)), {C=0.0005434782608695652, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(427)), {C=0.0005434782608695652, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(436)), {C=0.0005434782608695652, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(442)), {C=0.0006521739130434782, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(456)), {C=0.0005434782608695652, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(475)), {C=0.0005434782608695652, S=0.00048633401420095323}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(488)), {C=0.0006521739130434782, S=0.0005836008170411438}
(gender(Female))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(548)), {C=0.0005434782608695652, S=0.00048633401420095323}
