(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(6)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(11)), {C=0.0008170888292284346, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(12)), {C=0.0008170888292284346, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(13)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(30)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(47)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(86)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(102)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(106)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(112)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(118)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(126)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(138)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(141)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(148)), {C=0.0008170888292284346, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(162)), {C=0.0005836348780203105, S=0.00048633401420095323}
