(gender(Female))(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(41)), {C=0.0006656903208627347, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(85)), {C=0.0006656903208627347, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(181)), {C=0.0006656903208627347, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(344)), {C=0.0006656903208627347, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(345)), {C=0.0006656903208627347, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(382)), {C=0.0006656903208627347, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(425)), {C=0.0006656903208627347, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(431)), {C=0.0006656903208627347, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(447)), {C=0.0006656903208627347, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(482)), {C=0.0006656903208627347, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(487)), {C=0.0006656903208627347, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(490)), {C=0.0006656903208627347, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(542)), {C=0.0007988283850352816, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(600)), {C=0.0009319664492078285, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(648)), {C=0.0006656903208627347, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(873)), {C=0.0006656903208627347, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(914)), {C=0.0007988283850352816, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(948)), {C=0.0006656903208627347, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(1059)), {C=0.0007988283850352816, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(1081)), {C=0.0006656903208627347, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(1099)), {C=0.0006656903208627347, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(1109)), {C=0.0007988283850352816, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(1335)), {C=0.0006656903208627347, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(1347)), {C=0.0007988283850352816, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(1471)), {C=0.0006656903208627347, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(1480)), {C=0.0006656903208627347, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K))(house_owner(N)) --> (buy(1500)), {C=0.0006656903208627347, S=0.00048633401420095323}
