(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(2)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(3)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(7)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(11)), {C=0.0010588235294117648, S=0.0008754012255617158}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(12)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(13)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(21)), {C=0.0010588235294117648, S=0.0008754012255617158}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(24)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(25)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(26)), {C=0.0010588235294117648, S=0.0008754012255617158}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(27)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(28)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(29)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(30)), {C=0.0009411764705882354, S=0.0007781344227215252}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(33)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(35)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(38)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(39)), {C=0.0008235294117647059, S=0.0006808676198813345}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(42)), {C=0.0005882352941176471, S=0.00048633401420095323}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(45)), {C=0.0007058823529411764, S=0.0005836008170411438}
(gender(Male))(yearly_salary($30K - $50K))(marital_status(S)) --> (buy(48)), {C=0.0007058823529411764, S=0.0005836008170411438}
