(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(11)), {C=0.0008173750583839327, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(43)), {C=0.0005838393274170949, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(47)), {C=0.0007006071929005138, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(51)), {C=0.0005838393274170949, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(61)), {C=0.0005838393274170949, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(66)), {C=0.0005838393274170949, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(90)), {C=0.0005838393274170949, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(110)), {C=0.0005838393274170949, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(117)), {C=0.0005838393274170949, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(120)), {C=0.0005838393274170949, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(171)), {C=0.0005838393274170949, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(191)), {C=0.0007006071929005138, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(203)), {C=0.0005838393274170949, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(222)), {C=0.0005838393274170949, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(230)), {C=0.0005838393274170949, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(237)), {C=0.0007006071929005138, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(267)), {C=0.0005838393274170949, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(303)), {C=0.0005838393274170949, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(317)), {C=0.0009341429238673519, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(336)), {C=0.0007006071929005138, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(350)), {C=0.0005838393274170949, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(358)), {C=0.0005838393274170949, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(388)), {C=0.0007006071929005138, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(392)), {C=0.0005838393274170949, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(410)), {C=0.0005838393274170949, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(417)), {C=0.0005838393274170949, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(426)), {C=0.0005838393274170949, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(437)), {C=0.0005838393274170949, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(451)), {C=0.0005838393274170949, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(455)), {C=0.0005838393274170949, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(456)), {C=0.0005838393274170949, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(467)), {C=0.0007006071929005138, S=0.0005836008170411438}
