(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(2)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(6)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(7)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(10)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(11)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(14)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(15)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(16)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(20)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(21)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(22)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(23)), {C=0.001307379430563626, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(25)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(26)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(27)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(28)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(30)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(36)), {C=0.0014526438117373622, S=0.0009726680284019065}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(38)), {C=0.0010168506682161533, S=0.0006808676198813345}
