(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(11)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(16)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(20)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(23)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(36)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(38)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(43)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(46)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(47)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(50)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(51)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(61)), {C=0.0010312822275696115, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(66)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(69)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(79)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(85)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(90)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(93)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(97)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(114)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(116)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(117)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(120)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(138)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(163)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(179)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(185)), {C=0.0008021083992208089, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(188)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(190)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(191)), {C=0.0009166953133952103, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(194)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(204)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(212)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(222)), {C=0.0005729345708720064, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(230)), {C=0.0006875214850464076, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(255)), {C=0.0005729345708720064, S=0.00048633401420095323}
