(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(7)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(10)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(22)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(30)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(31)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(35)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(37)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(41)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(45)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(49)), {C=0.001088665779605661, S=0.0008754012255617158}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(52)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(53)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(54)), {C=0.00120962864400629, S=0.0009726680284019065}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(58)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(70)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(72)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(78)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(81)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(84)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(86)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(87)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(88)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(96)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(100)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(107)), {C=0.0009677029152050321, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(113)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(118)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(130)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(132)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(133)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(135)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(146)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(156)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(157)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(162)), {C=0.0009677029152050321, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(163)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(165)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(168)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(179)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(186)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(191)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(195)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(197)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(198)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(211)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(219)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(220)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(231)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(244)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(249)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(250)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(253)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(255)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(257)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(260)), {C=0.000846740050804403, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(270)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(271)), {C=0.0009677029152050321, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(278)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(283)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(285)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(286)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(292)), {C=0.0009677029152050321, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(295)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(304)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(306)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(308)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(311)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(312)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(313)), {C=0.000604814322003145, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(319)), {C=0.000725777186403774, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(member card(Bronze)) --> (buy(329)), {C=0.000604814322003145, S=0.00048633401420095323}
