(gender(Female))(yearly_salary($70K - $90K)) --> (buy(3)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(5)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(9)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(10)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(11)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(21)), {C=0.0014069644741470278, S=0.0007781344227215252}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(25)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(26)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(28)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(29)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(33)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(36)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(41)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(42)), {C=0.0015828350334154064, S=0.0008754012255617158}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(44)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(45)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(48)), {C=0.0015828350334154064, S=0.0008754012255617158}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(53)), {C=0.0014069644741470278, S=0.0007781344227215252}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(55)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(59)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(66)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(76)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(77)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(80)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(83)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(84)), {C=0.0012310939148786491, S=0.0006808676198813345}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(85)), {C=0.0015828350334154064, S=0.0008754012255617158}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(86)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(87)), {C=0.0010552233556102707, S=0.0005836008170411438}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(92)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(102)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(110)), {C=0.0008793527963418924, S=0.00048633401420095323}
(gender(Female))(yearly_salary($70K - $90K)) --> (buy(125)), {C=0.0008793527963418924, S=0.00048633401420095323}
