(gender(Male))(yearly_salary($50K - $70K)) --> (buy(6)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(7)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(10)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(22)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(29)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(30)), {C=0.001314060446780552, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(31)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(34)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(35)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(37)), {C=0.001314060446780552, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(39)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(41)), {C=0.001478318002628121, S=0.0008754012255617158}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(45)), {C=0.001314060446780552, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(48)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(49)), {C=0.00164257555847569, S=0.0009726680284019065}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(52)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(53)), {C=0.001314060446780552, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(54)), {C=0.0018068331143232589, S=0.001069934831242097}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(58)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(59)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(61)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(66)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(68)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(69)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(70)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(71)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(72)), {C=0.001314060446780552, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(78)), {C=0.0011498028909329829, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(79)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(80)), {C=0.0009855453350854138, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(81)), {C=0.000821287779237845, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K)) --> (buy(82)), {C=0.0009855453350854138, S=0.0005836008170411438}
