(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(6)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(11)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(19)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(21)), {C=0.0007150883644907549, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(35)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(81)), {C=0.0007150883644907549, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(118)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(120)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(121)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(127)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(148)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(159)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(161)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(163)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(183)), {C=0.0006129328838492185, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(186)), {C=0.0008172438451322913, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(190)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(195)), {C=0.0005107774032076821, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(197)), {C=0.0005107774032076821, S=0.00048633401420095323}
