(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(2)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(6)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(11)), {C=0.0006313131313131313, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(21)), {C=0.0006313131313131313, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(81)), {C=0.0006313131313131313, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(90)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(120)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(127)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(158)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(165)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(174)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(175)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(195)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(201)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(220)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(223)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(259)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(278)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(287)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(301)), {C=0.0006313131313131313, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(353)), {C=0.0006313131313131313, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(390)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(404)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(407)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(413)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(417)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(441)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(453)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(462)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(465)), {C=0.0007365319865319865, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(488)), {C=0.0006313131313131313, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(494)), {C=0.0006313131313131313, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(496)), {C=0.0007365319865319865, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(517)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(521)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(524)), {C=0.0007365319865319865, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(526)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(527)), {C=0.0006313131313131313, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(563)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(573)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(574)), {C=0.0007365319865319865, S=0.0006808676198813345}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(599)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(609)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(615)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(618)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(640)), {C=0.0005260942760942762, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(Y))(marital_status(S)) --> (buy(644)), {C=0.0005260942760942762, S=0.00048633401420095323}
