(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(41)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(124)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(180)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(194)), {C=0.00070085270412335, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(234)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(268)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(307)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(327)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(335)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(357)), {C=0.00070085270412335, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(367)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(445)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(454)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(541)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(546)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(632)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(758)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(909)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(926)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(937)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(945)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(952)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1002)), {C=0.0005840439201027917, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(house_owner(Y))(marital_status(M)) --> (buy(1100)), {C=0.0008176614881439083, S=0.0006808676198813345}
