(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(8)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(13)), {C=0.0008630609896432681, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(41)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(60)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(124)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(130)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(180)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(194)), {C=0.0011507479861910244, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(218)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(231)), {C=0.0008630609896432681, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(234)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(258)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(268)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(277)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(279)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(292)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(302)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(307)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(327)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(328)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(335)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(357)), {C=0.0008630609896432681, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(367)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(377)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(378)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(407)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(414)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(445)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(447)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(451)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(454)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(463)), {C=0.0008630609896432681, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(518)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(541)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(546)), {C=0.0008630609896432681, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(551)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(553)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(559)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(575)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(606)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(608)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(609)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(632)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(644)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(645)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(658)), {C=0.0007192174913693901, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden))(marital_status(M)) --> (buy(681)), {C=0.0007192174913693901, S=0.00048633401420095323}
