(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(8)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(12)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(13)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(18)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(24)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(29)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(41)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(60)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(68)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(85)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(124)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(130)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(131)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(180)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(194)), {C=0.00196174595389897, S=0.0007781344227215252}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(197)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(218)), {C=0.0012260912211868563, S=0.00048633401420095323}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(231)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(234)), {C=0.0014713094654242274, S=0.0005836008170411438}
(yearly_salary($30K - $50K))(member card(Golden)) --> (buy(239)), {C=0.0012260912211868563, S=0.00048633401420095323}
