(yearly_salary($90K - $110K)) --> (buy(6)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(27)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(40)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(43)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(44)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(45)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(73)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(74)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(76)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(85)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(106)), {C=0.015283842794759825, S=0.0006808676198813345}
(yearly_salary($90K - $110K)) --> (buy(107)), {C=0.015283842794759825, S=0.0006808676198813345}
(yearly_salary($90K - $110K)) --> (buy(109)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(110)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(114)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(115)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(119)), {C=0.019650655021834062, S=0.0008754012255617158}
(yearly_salary($90K - $110K)) --> (buy(161)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(171)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(180)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(188)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(191)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(193)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(214)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(254)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(264)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(277)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(281)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(283)), {C=0.015283842794759825, S=0.0006808676198813345}
(yearly_salary($90K - $110K)) --> (buy(299)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(309)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(316)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(347)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(354)), {C=0.01091703056768559, S=0.00048633401420095323}
