(buy(951)) --> (buy(62)), {C=0.09836065573770492, S=0.0005836008170411438}
(buy(951)) --> (buy(75)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(951)) --> (buy(342)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(951)) --> (buy(822)), {C=0.11475409836065573, S=0.0006808676198813345}
(buy(951)) --> (buy(868)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(951)) --> (buy(991)), {C=0.09836065573770492, S=0.0005836008170411438}
(buy(951)) --> (buy(1001)), {C=0.11475409836065573, S=0.0006808676198813345}
(buy(951)) --> (buy(1138)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(951)) --> (buy(1223)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(951)) --> (buy(1305)), {C=0.09836065573770492, S=0.0005836008170411438}
(buy(951)) --> (buy(1396)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(951)) --> (buy(1407)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(951)) --> (buy(1428)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(951)) --> (buy(1467)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(951)) --> (buy(1473)), {C=0.0819672131147541, S=0.00048633401420095323}
(buy(951)) --> (buy(1554)), {C=0.09836065573770492, S=0.0005836008170411438}
