(country(USA))(buy(600)) --> (buy(379)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(600)) --> (buy(463)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(600)) --> (buy(504)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(600)) --> (buy(523)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(600)) --> (buy(650)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(600)) --> (buy(839)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(600)) --> (buy(872)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(600)) --> (buy(883)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(600)) --> (buy(982)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(600)) --> (buy(1000)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(600)) --> (buy(1326)), {C=0.0006794401413235494, S=0.00048633401420095323}
(country(USA))(buy(600)) --> (buy(1503)), {C=0.0008153281695882593, S=0.0005836008170411438}
(country(USA))(buy(600)) --> (buy(1555)), {C=0.0006794401413235494, S=0.00048633401420095323}
