(age_group(YoungAdults))(education(Partial High School))(marital_status(M)) --> (buy(47)), {C=0.0009395973154362415, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Partial High School))(marital_status(M)) --> (buy(51)), {C=0.0006711409395973155, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Partial High School))(marital_status(M)) --> (buy(337)), {C=0.0006711409395973155, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Partial High School))(marital_status(M)) --> (buy(341)), {C=0.0006711409395973155, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Partial High School))(marital_status(M)) --> (buy(462)), {C=0.0006711409395973155, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Partial High School))(marital_status(M)) --> (buy(576)), {C=0.0006711409395973155, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Partial High School))(marital_status(M)) --> (buy(590)), {C=0.0006711409395973155, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Partial High School))(marital_status(M)) --> (buy(633)), {C=0.0006711409395973155, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Partial High School))(marital_status(M)) --> (buy(634)), {C=0.0008053691275167785, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Partial High School))(marital_status(M)) --> (buy(707)), {C=0.0008053691275167785, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Partial High School))(marital_status(M)) --> (buy(725)), {C=0.0008053691275167785, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Partial High School))(marital_status(M)) --> (buy(761)), {C=0.0006711409395973155, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Partial High School))(marital_status(M)) --> (buy(827)), {C=0.0008053691275167785, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Partial High School))(marital_status(M)) --> (buy(881)), {C=0.0008053691275167785, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Partial High School))(marital_status(M)) --> (buy(898)), {C=0.0008053691275167785, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Partial High School))(marital_status(M)) --> (buy(901)), {C=0.0006711409395973155, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Partial High School))(marital_status(M)) --> (buy(1073)), {C=0.0006711409395973155, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Partial High School))(marital_status(M)) --> (buy(1196)), {C=0.0006711409395973155, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Partial High School))(marital_status(M)) --> (buy(1219)), {C=0.0008053691275167785, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Partial High School))(marital_status(M)) --> (buy(1267)), {C=0.0006711409395973155, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Partial High School))(marital_status(M)) --> (buy(1276)), {C=0.0006711409395973155, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Partial High School))(marital_status(M)) --> (buy(1278)), {C=0.0009395973154362415, S=0.0006808676198813345}
(age_group(YoungAdults))(education(Partial High School))(marital_status(M)) --> (buy(1300)), {C=0.0006711409395973155, S=0.00048633401420095323}
(age_group(YoungAdults))(education(Partial High School))(marital_status(M)) --> (buy(1377)), {C=0.0008053691275167785, S=0.0005836008170411438}
(age_group(YoungAdults))(education(Partial High School))(marital_status(M)) --> (buy(1541)), {C=0.0006711409395973155, S=0.00048633401420095323}
