(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(220)), {C=0.0005507821105970479, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(476)), {C=0.0005507821105970479, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(822)), {C=0.0005507821105970479, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(825)), {C=0.0005507821105970479, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1254)), {C=0.0005507821105970479, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1376)), {C=0.0005507821105970479, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(220)), {C=0.0005507821105970479, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(476)), {C=0.0005507821105970479, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(822)), {C=0.0005507821105970479, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(825)), {C=0.0005507821105970479, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1254)), {C=0.0005507821105970479, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1376)), {C=0.0005507821105970479, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(220)), {C=0.0005507821105970479, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(476)), {C=0.0005507821105970479, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(822)), {C=0.0005507821105970479, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(825)), {C=0.0005507821105970479, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1254)), {C=0.0005507821105970479, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1376)), {C=0.0005507821105970479, S=0.00048633401420095323}
