(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(11)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(13)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(19)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(39)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(43)), {C=0.0010758472296933837, S=0.0007781344227215252}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(62)), {C=0.0009413663259817106, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(81)), {C=0.0009413663259817106, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(83)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(84)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(88)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(89)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(96)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(125)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(130)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(132)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(153)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(166)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(204)), {C=0.0009413663259817106, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(241)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(252)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(259)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(277)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(299)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(349)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(394)), {C=0.0009413663259817106, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(400)), {C=0.0008068854222700376, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(434)), {C=0.0006724045185583648, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Bronze))(education(High School Degree)) --> (buy(441)), {C=0.0006724045185583648, S=0.00048633401420095323}
