(age_group(YoungAdults))(member card(Normal))(marital_status(S)) --> (buy(122)), {C=0.000836470096194061, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Normal))(marital_status(S)) --> (buy(168)), {C=0.000697058413495051, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(marital_status(S)) --> (buy(176)), {C=0.000697058413495051, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(marital_status(S)) --> (buy(211)), {C=0.000697058413495051, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(marital_status(S)) --> (buy(212)), {C=0.000836470096194061, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Normal))(marital_status(S)) --> (buy(244)), {C=0.000697058413495051, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(marital_status(S)) --> (buy(287)), {C=0.000697058413495051, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(marital_status(S)) --> (buy(384)), {C=0.000697058413495051, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(marital_status(S)) --> (buy(426)), {C=0.000697058413495051, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(marital_status(S)) --> (buy(428)), {C=0.000697058413495051, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(marital_status(S)) --> (buy(486)), {C=0.000697058413495051, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(marital_status(S)) --> (buy(656)), {C=0.000697058413495051, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(marital_status(S)) --> (buy(755)), {C=0.000836470096194061, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Normal))(marital_status(S)) --> (buy(881)), {C=0.000697058413495051, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(marital_status(S)) --> (buy(1019)), {C=0.000836470096194061, S=0.0005836008170411438}
(age_group(YoungAdults))(member card(Normal))(marital_status(S)) --> (buy(1067)), {C=0.000697058413495051, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(marital_status(S)) --> (buy(1146)), {C=0.000697058413495051, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(marital_status(S)) --> (buy(1162)), {C=0.000697058413495051, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(marital_status(S)) --> (buy(1266)), {C=0.000697058413495051, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(marital_status(S)) --> (buy(1299)), {C=0.000697058413495051, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(marital_status(S)) --> (buy(1308)), {C=0.0009758817788930712, S=0.0006808676198813345}
(age_group(YoungAdults))(member card(Normal))(marital_status(S)) --> (buy(1311)), {C=0.000697058413495051, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(marital_status(S)) --> (buy(1355)), {C=0.000697058413495051, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(marital_status(S)) --> (buy(1388)), {C=0.000697058413495051, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(marital_status(S)) --> (buy(1477)), {C=0.000697058413495051, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(marital_status(S)) --> (buy(1508)), {C=0.000697058413495051, S=0.00048633401420095323}
(age_group(YoungAdults))(member card(Normal))(marital_status(S)) --> (buy(1539)), {C=0.000836470096194061, S=0.0005836008170411438}
