(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(133)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(158)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(258)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(289)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(307)), {C=0.0008989774131924936, S=0.0007781344227215252}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(340)), {C=0.0006742330598943701, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(393)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(424)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(443)), {C=0.0006742330598943701, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(483)), {C=0.0006742330598943701, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(568)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(629)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(660)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(670)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(673)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(774)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(837)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(891)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(910)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(928)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1063)), {C=0.0008989774131924936, S=0.0007781344227215252}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1235)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1266)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1267)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1309)), {C=0.0006742330598943701, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1344)), {C=0.0006742330598943701, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1421)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1432)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(1520)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(133)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(158)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(258)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(289)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(307)), {C=0.0008989774131924936, S=0.0007781344227215252}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(340)), {C=0.0006742330598943701, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(393)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(424)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(443)), {C=0.0006742330598943701, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(483)), {C=0.0006742330598943701, S=0.0005836008170411438}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(568)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(629)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(660)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(670)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(673)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(774)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(837)), {C=0.0005618608832453085, S=0.00048633401420095323}
(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y))(marital_status(M)) --> (buy(891)), {C=0.0005618608832453085, S=0.00048633401420095323}
