(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(3)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(67)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(220)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(456)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(476)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(556)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(576)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(712)), {C=0.0006208609271523178, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(822)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(825)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1254)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1376)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1410)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(3)), {C=0.0005173841059602649, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(67)), {C=0.0005173841059602649, S=0.00048633401420095323}
