(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(7)), {C=0.0006243496357960458, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(36)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(37)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(47)), {C=0.0006243496357960458, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(116)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(122)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(146)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(172)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(180)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(187)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(211)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(240)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(310)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(337)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(341)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(342)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(348)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(358)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(370)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(374)), {C=0.0005202913631633715, S=0.00048633401420095323}
