(country(USA))(age_group(MiddleAdults))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(53)), {C=0.0005767012687427913, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(181)), {C=0.0005767012687427913, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(560)), {C=0.0005767012687427913, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1397)), {C=0.0006920415224913495, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1487)), {C=0.0005767012687427913, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(53)), {C=0.0005767012687427913, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(181)), {C=0.0005767012687427913, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(560)), {C=0.0005767012687427913, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1397)), {C=0.0006920415224913495, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1487)), {C=0.0005767012687427913, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(53)), {C=0.0005767012687427913, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(181)), {C=0.0005767012687427913, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(560)), {C=0.0005767012687427913, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1397)), {C=0.0006920415224913495, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($70K - $90K))(education(Bachelors Degree)) --> (buy(1487)), {C=0.0005767012687427913, S=0.00048633401420095323}
