(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(17)), {C=0.0007226179415711777, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(36)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(40)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(64)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(86)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(119)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(133)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(135)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(148)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(158)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(160)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(163)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(174)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(195)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(221)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(225)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(232)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(244)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(258)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(278)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(289)), {C=0.0006193868070610096, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(301)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(307)), {C=0.0008258490760813461, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(333)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(340)), {C=0.0007226179415711777, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(352)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(353)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(383)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(390)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(393)), {C=0.0005161556725508413, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(Y)) --> (buy(394)), {C=0.0005161556725508413, S=0.00048633401420095323}
