(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(43)), {C=0.0006415739948674081, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(66)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(89)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(152)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(153)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(179)), {C=0.0006415739948674081, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(195)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(252)), {C=0.0006415739948674081, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(302)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(331)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(343)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(349)), {C=0.0006415739948674081, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(379)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(383)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(385)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(419)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(433)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(466)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(503)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(517)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(551)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(572)), {C=0.0006415739948674081, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(626)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(644)), {C=0.000748502994011976, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(725)), {C=0.00053464499572284, S=0.00048633401420095323}
