(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(41)), {C=0.0004961794184777216, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(59)), {C=0.0004961794184777216, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(226)), {C=0.0004961794184777216, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(271)), {C=0.0005954153021732659, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(362)), {C=0.0004961794184777216, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(488)), {C=0.0005954153021732659, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(501)), {C=0.0004961794184777216, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(505)), {C=0.0004961794184777216, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(532)), {C=0.0004961794184777216, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(536)), {C=0.0004961794184777216, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(611)), {C=0.0004961794184777216, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(670)), {C=0.0005954153021732659, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(741)), {C=0.0004961794184777216, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(788)), {C=0.0004961794184777216, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(941)), {C=0.0004961794184777216, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(984)), {C=0.0004961794184777216, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(1053)), {C=0.0004961794184777216, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(1078)), {C=0.0004961794184777216, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(1166)), {C=0.0006946511858688102, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(1204)), {C=0.0004961794184777216, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(1273)), {C=0.0004961794184777216, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(1380)), {C=0.0005954153021732659, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(1437)), {C=0.0004961794184777216, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(1446)), {C=0.0004961794184777216, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(1454)), {C=0.0004961794184777216, S=0.00048633401420095323}
