(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(2)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(7)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(9)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(16)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(17)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(37)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(39)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(41)), {C=0.0007612005219660722, S=0.0006808676198813345}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(42)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(45)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(48)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(49)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(50)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(62)), {C=0.0007612005219660722, S=0.0006808676198813345}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(86)), {C=0.0007612005219660722, S=0.0006808676198813345}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(89)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(92)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(103)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(106)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(112)), {C=0.0009786863853849502, S=0.0008754012255617158}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(116)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(120)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(123)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(131)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(146)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(155)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(160)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(163)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(174)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(175)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(179)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(183)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(189)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(212)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(229)), {C=0.0007612005219660722, S=0.0006808676198813345}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(231)), {C=0.0008699434536755112, S=0.0007781344227215252}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(236)), {C=0.0005437146585471945, S=0.00048633401420095323}
