(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(106)), {C=0.0005122425980944575, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(125)), {C=0.0005122425980944575, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(185)), {C=0.0005122425980944575, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(261)), {C=0.0005122425980944575, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(314)), {C=0.0005122425980944575, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(438)), {C=0.0005122425980944575, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(451)), {C=0.0006146911177133489, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(502)), {C=0.0005122425980944575, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(504)), {C=0.0005122425980944575, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(527)), {C=0.0005122425980944575, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(604)), {C=0.0005122425980944575, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(648)), {C=0.0005122425980944575, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(683)), {C=0.0006146911177133489, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(837)), {C=0.0005122425980944575, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(847)), {C=0.0005122425980944575, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(929)), {C=0.0005122425980944575, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1025)), {C=0.0005122425980944575, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1029)), {C=0.0005122425980944575, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1044)), {C=0.0005122425980944575, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1110)), {C=0.0005122425980944575, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1213)), {C=0.0005122425980944575, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1297)), {C=0.0006146911177133489, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1441)), {C=0.0005122425980944575, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1487)), {C=0.0006146911177133489, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1496)), {C=0.0005122425980944575, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(education(Bachelors Degree))(house_owner(Y))(marital_status(M)) --> (buy(1513)), {C=0.0005122425980944575, S=0.00048633401420095323}
