(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(12)), {C=0.0007133394476714562, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(18)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(36)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(43)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(44)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(55)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(60)), {C=0.0007133394476714562, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(62)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(82)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(118)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(143)), {C=0.000815245083053093, S=0.0007781344227215252}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(146)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(194)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(195)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(198)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(202)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(206)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(221)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(246)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(292)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(293)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(296)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(322)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(328)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(355)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(359)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(398)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(400)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(411)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(417)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(423)), {C=0.0006114338122898196, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(433)), {C=0.0005095281769081831, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(437)), {C=0.0007133394476714562, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(house_owner(N))(marital_status(M)) --> (buy(441)), {C=0.0007133394476714562, S=0.0006808676198813345}
