(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(24)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(28)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(75)), {C=0.0006066120715802245, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(97)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(148)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(160)), {C=0.0006066120715802245, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(168)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(222)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(250)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(370)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(375)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(379)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(384)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(404)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(406)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(416)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(436)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(446)), {C=0.0006066120715802245, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(467)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(471)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(484)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(493)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(504)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(505)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(517)), {C=0.0006066120715802245, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(544)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(549)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(572)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(584)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(599)), {C=0.0007077140835102619, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(632)), {C=0.0007077140835102619, S=0.0006808676198813345}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(646)), {C=0.0006066120715802245, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(677)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(720)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(739)), {C=0.0006066120715802245, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(780)), {C=0.0005055100596501871, S=0.00048633401420095323}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(784)), {C=0.0006066120715802245, S=0.0005836008170411438}
(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(education(Partial High School)) --> (buy(820)), {C=0.0005055100596501871, S=0.00048633401420095323}
