(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(3)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(20)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(21)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(36)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(42)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(53)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(84)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(89)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(113)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(159)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(174)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(181)), {C=0.0007275750961438519, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(256)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(269)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(274)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(335)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(341)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(344)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(349)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(362)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(376)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(378)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(382)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(384)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(385)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(388)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(403)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(418)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(421)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(424)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(436)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(440)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(443)), {C=0.0007275750961438519, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(452)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(458)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(464)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(478)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(482)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(489)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(493)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(503)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(511)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(514)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(519)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(521)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(542)), {C=0.0008315143955929737, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(554)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(560)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(562)), {C=0.0007275750961438519, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(565)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(579)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(592)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(597)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(603)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(606)), {C=0.0008315143955929737, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(611)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(618)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(620)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(634)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(635)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(648)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(649)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(652)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(656)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(658)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(662)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(671)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(687)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(690)), {C=0.0007275750961438519, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(698)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(734)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(751)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(772)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(779)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(782)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(784)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(793)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(813)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(818)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(820)), {C=0.0010393929944912171, S=0.0009726680284019065}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(822)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(841)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(844)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(868)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(869)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(877)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(881)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(882)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(887)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(906)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(914)), {C=0.0007275750961438519, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(917)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(923)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(928)), {C=0.0008315143955929737, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(930)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(933)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(936)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(937)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(948)), {C=0.0007275750961438519, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(964)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(968)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(984)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1021)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1033)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1039)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1043)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1047)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1050)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1083)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1089)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1091)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1099)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1107)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1131)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1163)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1189)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1191)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1192)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1222)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1224)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1226)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1231)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1291)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1305)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1324)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1332)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1347)), {C=0.0007275750961438519, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1372)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1378)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1382)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1383)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1384)), {C=0.0007275750961438519, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1387)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1397)), {C=0.0007275750961438519, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1401)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1407)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1410)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1420)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1422)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1427)), {C=0.0007275750961438519, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1433)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1437)), {C=0.0007275750961438519, S=0.0006808676198813345}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1451)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1452)), {C=0.0008315143955929737, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1455)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1488)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1500)), {C=0.0006236357966947302, S=0.0005836008170411438}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1520)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1538)), {C=0.0005196964972456086, S=0.00048633401420095323}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1545)), {C=0.0008315143955929737, S=0.0007781344227215252}
(country(USA))(yearly_salary($70K - $90K))(member card(Bronze))(marital_status(S)) --> (buy(1550)), {C=0.0005196964972456086, S=0.00048633401420095323}
