(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(7)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(41)), {C=0.0008247908566042182, S=0.0006808676198813345}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(59)), {C=0.0007069635913750441, S=0.0005836008170411438}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(110)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(132)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(136)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(202)), {C=0.0007069635913750441, S=0.0005836008170411438}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(217)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(226)), {C=0.0007069635913750441, S=0.0005836008170411438}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(258)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(271)), {C=0.0008247908566042182, S=0.0006808676198813345}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(349)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(362)), {C=0.0011782726522917403, S=0.0009726680284019065}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(379)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(404)), {C=0.0008247908566042182, S=0.0006808676198813345}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(405)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(433)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(438)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(482)), {C=0.0007069635913750441, S=0.0005836008170411438}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(488)), {C=0.0007069635913750441, S=0.0005836008170411438}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(501)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(505)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(508)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(525)), {C=0.0007069635913750441, S=0.0005836008170411438}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(532)), {C=0.0007069635913750441, S=0.0005836008170411438}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(536)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(549)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(611)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(631)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(670)), {C=0.0007069635913750441, S=0.0005836008170411438}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(716)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(741)), {C=0.0007069635913750441, S=0.0005836008170411438}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(788)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(842)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(866)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(897)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(903)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(941)), {C=0.0007069635913750441, S=0.0005836008170411438}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(947)), {C=0.0007069635913750441, S=0.0005836008170411438}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(959)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(965)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(967)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(984)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(987)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(1032)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(1044)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(1053)), {C=0.0005891363261458702, S=0.00048633401420095323}
