(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(21)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(31)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(34)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(70)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(95)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(126)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(195)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(265)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(292)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(333)), {C=0.0010604453870625664, S=0.0007781344227215252}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(393)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(394)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(400)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(423)), {C=0.000662778366914104, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(433)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(443)), {C=0.0007953340402969247, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(education(Partial High School)) --> (buy(469)), {C=0.000662778366914104, S=0.00048633401420095323}
