(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(3)), {C=0.0008203445447087777, S=0.0007781344227215252}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(282)), {C=0.0006152584085315833, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(358)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(376)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(420)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(427)), {C=0.0006152584085315833, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(434)), {C=0.0006152584085315833, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(477)), {C=0.0006152584085315833, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(592)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(642)), {C=0.0006152584085315833, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(688)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(696)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(859)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(880)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1284)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1363)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1420)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1433)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1465)), {C=0.0007178014766201804, S=0.0006808676198813345}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1500)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(3)), {C=0.0008203445447087777, S=0.0007781344227215252}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(282)), {C=0.0006152584085315833, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(358)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(376)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(420)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(427)), {C=0.0006152584085315833, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(434)), {C=0.0006152584085315833, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(477)), {C=0.0006152584085315833, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(592)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(642)), {C=0.0006152584085315833, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(688)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(696)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(859)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(880)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1284)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1363)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1420)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1433)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1465)), {C=0.0007178014766201804, S=0.0006808676198813345}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1500)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(3)), {C=0.0008203445447087777, S=0.0007781344227215252}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(282)), {C=0.0006152584085315833, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(358)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(376)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(420)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(427)), {C=0.0006152584085315833, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(434)), {C=0.0006152584085315833, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(477)), {C=0.0006152584085315833, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(592)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(642)), {C=0.0006152584085315833, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(688)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(696)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(859)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(880)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1284)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1363)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1420)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1433)), {C=0.000512715340442986, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1465)), {C=0.0007178014766201804, S=0.0006808676198813345}
(gender(Female))(age_group(MiddleAdults))(house_owner(Y))(marital_status(S)) --> (buy(1500)), {C=0.000512715340442986, S=0.00048633401420095323}
