(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(7)), {C=0.0009271062695561479, S=0.0007781344227215252}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(8)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(11)), {C=0.0009271062695561479, S=0.0007781344227215252}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(14)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(16)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(23)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(28)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(33)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(35)), {C=0.0008112179858616293, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(37)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(39)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(41)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(45)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(47)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(48)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(61)), {C=0.0006953297021671109, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(62)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(65)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(70)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(76)), {C=0.0005794414184725924, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(house_owner(Y)) --> (buy(78)), {C=0.0005794414184725924, S=0.00048633401420095323}
