(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(66)), {C=0.0005439512619669277, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(358)), {C=0.0005439512619669277, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(415)), {C=0.0005439512619669277, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(570)), {C=0.0005439512619669277, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(706)), {C=0.0006527415143603132, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(1356)), {C=0.0005439512619669277, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(66)), {C=0.0005439512619669277, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(358)), {C=0.0005439512619669277, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(415)), {C=0.0005439512619669277, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(570)), {C=0.0005439512619669277, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(706)), {C=0.0006527415143603132, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(1356)), {C=0.0005439512619669277, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(66)), {C=0.0005439512619669277, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(358)), {C=0.0005439512619669277, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(415)), {C=0.0005439512619669277, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(570)), {C=0.0005439512619669277, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(706)), {C=0.0006527415143603132, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(member card(Normal))(education(Partial High School))(house_owner(Y)) --> (buy(1356)), {C=0.0005439512619669277, S=0.00048633401420095323}
