(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(284)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(477)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(604)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(962)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1347)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1532)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(284)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(477)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(604)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(962)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1347)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1532)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(284)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(477)), {C=0.0006817407112828087, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(604)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(962)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1347)), {C=0.0005681172594023407, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(education(Bachelors Degree)) --> (buy(1532)), {C=0.0005681172594023407, S=0.00048633401420095323}
