(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(368)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(384)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(472)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(559)), {C=0.0006758278891642261, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(642)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(836)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(865)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(969)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1104)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1357)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1376)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1410)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1533)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(368)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(384)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(472)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(559)), {C=0.0006758278891642261, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(642)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(836)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(865)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(969)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1104)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1357)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1376)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1410)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1533)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(368)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(384)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(472)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(559)), {C=0.0006758278891642261, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(642)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(836)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(865)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(969)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1104)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1357)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1376)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1410)), {C=0.0005631899076368552, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1533)), {C=0.0005631899076368552, S=0.00048633401420095323}
