(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(5)), {C=0.000524493863421798, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(82)), {C=0.0006293926361061575, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(223)), {C=0.000524493863421798, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(263)), {C=0.000524493863421798, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(284)), {C=0.000524493863421798, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(292)), {C=0.0006293926361061575, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(340)), {C=0.0007342914087905172, S=0.0006808676198813345}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(350)), {C=0.000524493863421798, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(390)), {C=0.0006293926361061575, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(481)), {C=0.000524493863421798, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(604)), {C=0.0009440889541592364, S=0.0008754012255617158}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(656)), {C=0.000524493863421798, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(673)), {C=0.0007342914087905172, S=0.0006808676198813345}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(779)), {C=0.0006293926361061575, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(830)), {C=0.000524493863421798, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(839)), {C=0.000524493863421798, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(892)), {C=0.000524493863421798, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(926)), {C=0.0006293926361061575, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(929)), {C=0.000524493863421798, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(976)), {C=0.0006293926361061575, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(1018)), {C=0.0006293926361061575, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(1055)), {C=0.000524493863421798, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(1092)), {C=0.000524493863421798, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(1172)), {C=0.000524493863421798, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(1192)), {C=0.0006293926361061575, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(1211)), {C=0.000524493863421798, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(1261)), {C=0.0006293926361061575, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(1328)), {C=0.000524493863421798, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(1399)), {C=0.000524493863421798, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(1452)), {C=0.000524493863421798, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(1459)), {C=0.0006293926361061575, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(1473)), {C=0.000524493863421798, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(5)), {C=0.000524493863421798, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(82)), {C=0.0006293926361061575, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(223)), {C=0.000524493863421798, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(263)), {C=0.000524493863421798, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(284)), {C=0.000524493863421798, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(292)), {C=0.0006293926361061575, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(340)), {C=0.0007342914087905172, S=0.0006808676198813345}
(gender(Female))(age_group(MiddleAdults))(member card(Bronze))(marital_status(M)) --> (buy(350)), {C=0.000524493863421798, S=0.00048633401420095323}
