(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(126)), {C=0.0007883326763894363, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(593)), {C=0.0006569438969911969, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(681)), {C=0.0006569438969911969, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(733)), {C=0.0006569438969911969, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(736)), {C=0.0006569438969911969, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(805)), {C=0.0006569438969911969, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(996)), {C=0.0007883326763894363, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1084)), {C=0.0006569438969911969, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1136)), {C=0.0006569438969911969, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1236)), {C=0.0006569438969911969, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1406)), {C=0.0007883326763894363, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1417)), {C=0.0007883326763894363, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1432)), {C=0.0006569438969911969, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1446)), {C=0.0009197214557876757, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(126)), {C=0.0007883326763894363, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(593)), {C=0.0006569438969911969, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(681)), {C=0.0006569438969911969, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(733)), {C=0.0006569438969911969, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(736)), {C=0.0006569438969911969, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(805)), {C=0.0006569438969911969, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(996)), {C=0.0007883326763894363, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1084)), {C=0.0006569438969911969, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1136)), {C=0.0006569438969911969, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1236)), {C=0.0006569438969911969, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1406)), {C=0.0007883326763894363, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1417)), {C=0.0007883326763894363, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1432)), {C=0.0006569438969911969, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(1446)), {C=0.0009197214557876757, S=0.0006808676198813345}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(126)), {C=0.0007883326763894363, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(593)), {C=0.0006569438969911969, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(681)), {C=0.0006569438969911969, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(education(Partial High School)) --> (buy(733)), {C=0.0006569438969911969, S=0.00048633401420095323}
