(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(593)), {C=0.0005498130635583901, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(996)), {C=0.0005498130635583901, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1406)), {C=0.0005498130635583901, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1417)), {C=0.0005498130635583901, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1446)), {C=0.0006597756762700681, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(593)), {C=0.0005498130635583901, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(996)), {C=0.0005498130635583901, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1406)), {C=0.0005498130635583901, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1417)), {C=0.0005498130635583901, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1446)), {C=0.0006597756762700681, S=0.0005836008170411438}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(593)), {C=0.0005498130635583901, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(996)), {C=0.0005498130635583901, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1406)), {C=0.0005498130635583901, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1417)), {C=0.0005498130635583901, S=0.00048633401420095323}
(gender(Male))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(house_owner(Y)) --> (buy(1446)), {C=0.0006597756762700681, S=0.0005836008170411438}
