(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(66)), {C=0.0005514503143266791, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(358)), {C=0.0005514503143266791, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(415)), {C=0.0005514503143266791, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(570)), {C=0.0005514503143266791, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(706)), {C=0.000661740377192015, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1356)), {C=0.0005514503143266791, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1419)), {C=0.0005514503143266791, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(66)), {C=0.0005514503143266791, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(358)), {C=0.0005514503143266791, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(415)), {C=0.0005514503143266791, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(570)), {C=0.0005514503143266791, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(706)), {C=0.000661740377192015, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1356)), {C=0.0005514503143266791, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1419)), {C=0.0005514503143266791, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(66)), {C=0.0005514503143266791, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(358)), {C=0.0005514503143266791, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(415)), {C=0.0005514503143266791, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(570)), {C=0.0005514503143266791, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(706)), {C=0.000661740377192015, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1356)), {C=0.0005514503143266791, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(1419)), {C=0.0005514503143266791, S=0.00048633401420095323}
