(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(66)), {C=0.0011293054771315642, S=0.0007781344227215252}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(116)), {C=0.0007058159232072276, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(213)), {C=0.0007058159232072276, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(358)), {C=0.0007058159232072276, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(376)), {C=0.0007058159232072276, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(388)), {C=0.0007058159232072276, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(389)), {C=0.0007058159232072276, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(412)), {C=0.0007058159232072276, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(415)), {C=0.000846979107848673, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(482)), {C=0.000846979107848673, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(509)), {C=0.0007058159232072276, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(519)), {C=0.0007058159232072276, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(556)), {C=0.0007058159232072276, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(570)), {C=0.000846979107848673, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(572)), {C=0.0009881422924901185, S=0.0006808676198813345}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(611)), {C=0.0007058159232072276, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(685)), {C=0.0007058159232072276, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(688)), {C=0.0007058159232072276, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(706)), {C=0.000846979107848673, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(957)), {C=0.0007058159232072276, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(987)), {C=0.0007058159232072276, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(993)), {C=0.0007058159232072276, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1015)), {C=0.0007058159232072276, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1018)), {C=0.0007058159232072276, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1086)), {C=0.0007058159232072276, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1100)), {C=0.0007058159232072276, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1140)), {C=0.0007058159232072276, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1173)), {C=0.000846979107848673, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1208)), {C=0.0007058159232072276, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1226)), {C=0.000846979107848673, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1356)), {C=0.0007058159232072276, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1380)), {C=0.0007058159232072276, S=0.00048633401420095323}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1419)), {C=0.000846979107848673, S=0.0005836008170411438}
(gender(Female))(age_group(MiddleAdults))(yearly_salary($10K - $30K)) --> (buy(1452)), {C=0.0007058159232072276, S=0.00048633401420095323}
