(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(11)), {C=0.0007915567282321898, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(39)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(62)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(66)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(70)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(89)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(125)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(132)), {C=0.0010554089709762533, S=0.0007781344227215252}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(154)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(166)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(177)), {C=0.0007915567282321898, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(188)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(218)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(231)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(250)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(277)), {C=0.0007915567282321898, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(317)), {C=0.0007915567282321898, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(318)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(355)), {C=0.0007915567282321898, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(359)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(407)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(437)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(455)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(465)), {C=0.0009234828496042215, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(503)), {C=0.0007915567282321898, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(505)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(541)), {C=0.0007915567282321898, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(575)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(618)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(630)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(632)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(635)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(636)), {C=0.0007915567282321898, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(725)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(788)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(801)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(803)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(807)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(812)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(814)), {C=0.0009234828496042215, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(844)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(849)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(883)), {C=0.0010554089709762533, S=0.0007781344227215252}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(905)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(909)), {C=0.0009234828496042215, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(911)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(912)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(915)), {C=0.0007915567282321898, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(916)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(925)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(934)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(935)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(941)), {C=0.0007915567282321898, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(952)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(959)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(996)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1002)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1013)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1022)), {C=0.0007915567282321898, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1024)), {C=0.0009234828496042215, S=0.0006808676198813345}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1028)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1057)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1080)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1123)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1148)), {C=0.0007915567282321898, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1153)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1165)), {C=0.0007915567282321898, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1198)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1287)), {C=0.0007915567282321898, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1296)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1301)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1308)), {C=0.0007915567282321898, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1332)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1342)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1392)), {C=0.0006596306068601583, S=0.00048633401420095323}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1412)), {C=0.0007915567282321898, S=0.0005836008170411438}
(gender(Female))(age_group(YoungAdults))(yearly_salary($30K - $50K)) --> (buy(1429)), {C=0.0007915567282321898, S=0.0005836008170411438}
