(gender(Male))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(72)), {C=0.0007025432064071941, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(115)), {C=0.0007025432064071941, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(122)), {C=0.0007025432064071941, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(287)), {C=0.0008430518476886328, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(404)), {C=0.0007025432064071941, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(588)), {C=0.0008430518476886328, S=0.0005836008170411438}
(gender(Male))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(590)), {C=0.0007025432064071941, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(645)), {C=0.0007025432064071941, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(891)), {C=0.0007025432064071941, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(909)), {C=0.0007025432064071941, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(956)), {C=0.0007025432064071941, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(977)), {C=0.0007025432064071941, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1146)), {C=0.0007025432064071941, S=0.00048633401420095323}
(gender(Male))(age_group(YoungAdults))(yearly_salary($10K - $30K)) --> (buy(1521)), {C=0.0007025432064071941, S=0.00048633401420095323}
