(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(8)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(33)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(37)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(78)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(84)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(108)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(116)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(125)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(154)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(160)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(172)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(199)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(261)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(264)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(265)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(275)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(317)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(341)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(411)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(451)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(455)), {C=0.0007014028056112223, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(465)), {C=0.0007014028056112223, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(467)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(486)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(575)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(576)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(590)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(601)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(611)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(634)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(665)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(681)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(686)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(696)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(725)), {C=0.0007014028056112223, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(M)) --> (buy(788)), {C=0.000501002004008016, S=0.00048633401420095323}
