(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(S)) --> (buy(31)), {C=0.0004939735230191662, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(S)) --> (buy(86)), {C=0.0004939735230191662, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(S)) --> (buy(146)), {C=0.0005927682276229994, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(S)) --> (buy(227)), {C=0.0004939735230191662, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(S)) --> (buy(347)), {C=0.0004939735230191662, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(S)) --> (buy(349)), {C=0.0004939735230191662, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(S)) --> (buy(426)), {C=0.0004939735230191662, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(S)) --> (buy(456)), {C=0.0004939735230191662, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(S)) --> (buy(465)), {C=0.0004939735230191662, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(S)) --> (buy(563)), {C=0.0005927682276229994, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(S)) --> (buy(588)), {C=0.0006915629322268326, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(S)) --> (buy(634)), {C=0.0004939735230191662, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(S)) --> (buy(802)), {C=0.0004939735230191662, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(S)) --> (buy(831)), {C=0.0004939735230191662, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(S)) --> (buy(912)), {C=0.0005927682276229994, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(S)) --> (buy(936)), {C=0.0004939735230191662, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(S)) --> (buy(948)), {C=0.0004939735230191662, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(S)) --> (buy(1056)), {C=0.0005927682276229994, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(S)) --> (buy(1216)), {C=0.0004939735230191662, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(S)) --> (buy(1275)), {C=0.0004939735230191662, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(S)) --> (buy(1288)), {C=0.0004939735230191662, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(S)) --> (buy(1301)), {C=0.0004939735230191662, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(S)) --> (buy(1339)), {C=0.0005927682276229994, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(S)) --> (buy(1365)), {C=0.0004939735230191662, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(S)) --> (buy(1394)), {C=0.0004939735230191662, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(S)) --> (buy(1456)), {C=0.0005927682276229994, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(house_owner(Y))(marital_status(S)) --> (buy(1538)), {C=0.0005927682276229994, S=0.0005836008170411438}
