(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(N)) --> (buy(44)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(N)) --> (buy(62)), {C=0.0006006607267994794, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(N)) --> (buy(83)), {C=0.0006006607267994794, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(N)) --> (buy(153)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(N)) --> (buy(166)), {C=0.000700770847932726, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(N)) --> (buy(179)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(N)) --> (buy(233)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(N)) --> (buy(250)), {C=0.0006006607267994794, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(N)) --> (buy(403)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(N)) --> (buy(572)), {C=0.000700770847932726, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(N)) --> (buy(760)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(N)) --> (buy(812)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(N)) --> (buy(842)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(N)) --> (buy(1148)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(N)) --> (buy(1291)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(N)) --> (buy(1335)), {C=0.0005005506056662329, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(N)) --> (buy(1392)), {C=0.0006006607267994794, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(N)) --> (buy(1503)), {C=0.0006006607267994794, S=0.0005836008170411438}
