(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(24)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(52)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(78)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(105)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(146)), {C=0.0006943066851815116, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(149)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(164)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(201)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(216)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(227)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(229)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(277)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(339)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(342)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(349)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(370)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(428)), {C=0.0006943066851815116, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(434)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(451)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(456)), {C=0.0007934933544931562, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(460)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(461)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(463)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(476)), {C=0.0004959333465582226, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(503)), {C=0.000595120015869867, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(member card(Bronze))(house_owner(Y)) --> (buy(516)), {C=0.0004959333465582226, S=0.00048633401420095323}
