(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(107)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(108)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(124)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(180)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(225)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(274)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(311)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(334)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(341)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(356)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(359)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(368)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(375)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(384)), {C=0.0007014028056112223, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(386)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(394)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(438)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(493)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(502)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(602)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(619)), {C=0.000501002004008016, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(639)), {C=0.0006012024048096192, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(member card(Bronze))(marital_status(S)) --> (buy(642)), {C=0.0006012024048096192, S=0.0005836008170411438}
