(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(3)), {C=0.0011237102870569006, S=0.001069934831242097}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(5)), {C=0.0008172438451322913, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(8)), {C=0.0007150883644907549, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(15)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(17)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(26)), {C=0.0008172438451322913, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(27)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(30)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(32)), {C=0.0007150883644907549, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(40)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(42)), {C=0.0007150883644907549, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(44)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(46)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(50)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(59)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(61)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(64)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(member card(Bronze)) --> (buy(66)), {C=0.0005107774032076821, S=0.00048633401420095323}
